,Name,Place S,Place P,Time,Bib,Division,Year,Sex
0,"Dibaba, Mare (ETH)",50,1,Finish02:25:37,BIB103,Division20-24,Results: 2014 / Marathon,Women
1,"Dibaba, Birhane (ETH)",50,3,Finish02:27:02,BIB106,Division20-24,Results: 2014 / Marathon,Women
2,"Santucci, Clara (USA)",61,5,Finish02:32:21,BIB108,Division25-29,Results: 2014 / Marathon,Women
3,"Burka, Gelete (ETH)",61,7,Finish02:34:17,BIB127,Division25-29,Results: 2014 / Marathon,Women
4,"Jimison, Lauren (USA)",101,9,Finish02:34:38,BIB114,Division20-24,Results: 2014 / Marathon,Women
5,"Scherf, Lindsey (USA)",101,11,Finish02:37:26,BIB110,Division25-29,Results: 2014 / Marathon,Women
6,"Portis, Laura (USA)",116,13,Finish02:38:06,BIB115,Division25-29,Results: 2014 / Marathon,Women
7,"Bevins-Lazzara, Whitney (USA)",116,15,Finish02:40:12,BIB123,Division30-34,Results: 2014 / Marathon,Women
8,"Uhl, Lisa (USA)",119,17,Finish02:40:51,BIB109,Division25-29,Results: 2014 / Marathon,Women
9,"Crowley, Loring (USA)",119,19,Finish02:41:39,BIB411,Division30-34,Results: 2014 / Marathon,Women
10,"Greenwood, Heidi (USA)",146,21,Finish02:42:22,BIB121,Division25-29,Results: 2014 / Marathon,Women
11,"Composti, Jeanna (USA)",146,23,Finish02:42:34,BIB186,Division30-34,Results: 2014 / Marathon,Women
12,"Stephan, Faith (USA)",161,25,Finish02:42:54,BIB182,Division25-29,Results: 2014 / Marathon,Women
13,"Lee, Rosy (USA)",161,27,Finish02:43:20,BIB398,Division35-39,Results: 2014 / Marathon,Women
14,"Tessier, Lyndsay (CAN)",182,29,Finish02:45:39,BIB453,Division35-39,Results: 2014 / Marathon,Women
15,"Moeller, Erin (USA)",182,31,Finish02:45:54,BIB178,Division35-39,Results: 2014 / Marathon,Women
16,"Olsen, Courtney (USA)",189,33,Finish02:46:21,BIB169,Division25-29,Results: 2014 / Marathon,Women
17,"Kurian, Emily (USA)",189,35,Finish02:46:39,BIB177,Division30-34,Results: 2014 / Marathon,Women
18,"Harnish, Laura (USA)",204,37,Finish02:47:27,BIB197,Division25-29,Results: 2014 / Marathon,Women
19,"Staton, Pamela (USA)",204,39,Finish02:48:02,BIB425,Division25-29,Results: 2014 / Marathon,Women
20,"Firth, Charlotte (GBR)",224,41,Finish02:48:31,BIB467,Division25-29,Results: 2014 / Marathon,Women
21,"Smart, Kristin (CAN)",224,43,Finish02:49:00,BIB195,Division25-29,Results: 2014 / Marathon,Women
22,"Morrison, Amber (USA)",232,45,Finish02:49:15,BIB163,Division30-34,Results: 2014 / Marathon,Women
23,"Casey, Nicole (USA)",232,47,Finish02:49:56,BIB489,Division25-29,Results: 2014 / Marathon,Women
24,"Weber, Anna (USA)",244,49,Finish02:50:01,BIB450,Division25-29,Results: 2014 / Marathon,Women
25,"McLean, Pauline (CAN)",244,51,Finish02:50:50,BIB474,Division35-39,Results: 2014 / Marathon,Women
26,"Uible, Elisabeth (USA)",253,53,Finish02:50:59,BIB180,Division25-29,Results: 2014 / Marathon,Women
27,"Selert, Kir (USA)",253,55,Finish02:51:23,BIB434,Division25-29,Results: 2014 / Marathon,Women
28,"Moll, Angela (USA)",308,57,Finish02:51:31,BIB164,Division35-39,Results: 2014 / Marathon,Women
29,"Grevenstuk, Michelle (USA)",308,59,Finish02:52:01,BIB200,Division30-34,Results: 2014 / Marathon,Women
30,"Manley, Pamela (USA)",313,61,Finish02:52:56,BIB476,Division35-39,Results: 2014 / Marathon,Women
31,"Perkins, Lauren (USA)",313,63,Finish02:53:46,BIB198,Division30-34,Results: 2014 / Marathon,Women
32,"Ytterstad, Nina (NOR)",324,65,Finish02:53:59,BIB437,Division50-54,Results: 2014 / Marathon,Women
33,"Davis, Mckale (USA)",324,67,Finish02:54:08,BIB491,Division30-34,Results: 2014 / Marathon,Women
34,"Duval, Dari (USA)",333,69,Finish02:54:40,BIB1522,Division30-34,Results: 2014 / Marathon,Women
35,"Walters, Ingrid (USA)",333,71,Finish02:54:58,BIB184,Division40-44,Results: 2014 / Marathon,Women
36,"Lee, Kerry (USA)",347,73,Finish02:55:14,BIB488,Division35-39,Results: 2014 / Marathon,Women
37,"Clifford, Shambra (USA)",347,75,Finish02:55:30,BIB2198,Division30-34,Results: 2014 / Marathon,Women
38,"Markham, Kelsey (USA)",368,77,Finish02:55:58,BIB462,Division25-29,Results: 2014 / Marathon,Women
39,"Niles, Alexandra (USA)",368,79,Finish02:56:03,BIB406,Division30-34,Results: 2014 / Marathon,Women
40,"Yoshizumi, Yuri (JPN)",384,81,Finish02:56:07,BIB118,Division25-29,Results: 2014 / Marathon,Women
41,"Shaw, Christine (USA)",384,83,Finish02:56:17,BIB171,Division25-29,Results: 2014 / Marathon,Women
42,"Burgess, Kristine (USA)",396,85,Finish02:56:25,BIB433,Division25-29,Results: 2014 / Marathon,Women
